query,vo,dataset_version,percentage,throughput
tpch_query03,vo1,tpch10,61.01,20675675.675675675
tpch_query03,vo1,tpch10,62.01,21250000.0
tpch_query03,vo1,tpch10,63.01,20131578.94736842
tpch_query03,vo1,tpch10,64.01,18658536.585365854
tpch_query03,vo1,tpch10,65.01,16276595.744680852
tpch_query03,vo1,tpch10,66.01,18214285.714285713
tpch_query03,vo1,tpch10,67.01,20675675.675675675
tpch_query03,vo1,tpch10,68.01,20675675.675675675
tpch_query03,vo1,tpch10,69.01,20131578.94736842
tpch_query03,vo1,tpch10,70.01,13421052.631578946
tpch_query03,vo1,tpch10,71.01,20131578.94736842
tpch_query03,vo1,tpch10,72.01,20675675.675675675
tpch_query03,vo1,tpch10,73.01,20675675.675675675
tpch_query03,vo1,tpch10,74.01,20675675.675675675
tpch_query03,vo1,tpch10,75.01,20675675.675675675
tpch_query03,vo1,tpch10,76.02,20675675.675675675
tpch_query03,vo1,tpch10,77.02,20675675.675675675
tpch_query03,vo1,tpch10,78.02,20675675.675675675
tpch_query03,vo1,tpch10,79.02,20131578.94736842
tpch_query03,vo1,tpch10,80.02,20131578.94736842
tpch_query03,vo1,tpch10,81.02,19615384.615384616
tpch_query03,vo1,tpch10,82.02,2243401.759530792
tpch_query03,vo1,tpch10,83.02,21250000.0
tpch_query03,vo1,tpch10,84.02,21250000.0
tpch_query03,vo1,tpch10,85.02,21857142.85714286
tpch_query03,vo1,tpch10,86.02,21250000.0
tpch_query03,vo1,tpch10,87.02,22500000.0
tpch_query03,vo1,tpch10,88.02,21250000.0
tpch_query03,vo1,tpch10,89.02,21250000.0
tpch_query03,vo1,tpch10,90.02,19125000.0
tpch_query03,vo1,tpch10,91.02,21250000.0
tpch_query03,vo1,tpch10,92.02,21250000.0
tpch_query03,vo1,tpch10,93.02,14433962.264150944
tpch_query03,vo1,tpch10,94.02,17386363.636363637
tpch_query03,vo1,tpch10,95.02,16276595.744680852
tpch_query03,vo1,tpch10,96.02,16276595.744680852
tpch_query03,vo1,tpch10,97.02,20131578.94736842
tpch_query03,vo1,tpch10,98.02,21250000.0
tpch_query03,vo1,tpch10,99.02,20675675.675675675
tpch_query03,vo1,tpch10,100.0,20271675.675675675
tpch_query03,vo1,tpch,1.02,19250000.0
tpch_query03,vo1,tpch,2.03,19250000.0
tpch_query03,vo1,tpch,3.03,15400000.0
tpch_query03,vo1,tpch,4.04,12833333.333333334
tpch_query03,vo1,tpch,5.04,12833333.333333334
tpch_query03,vo1,tpch,6.05,9625000.0
tpch_query03,vo1,tpch,7.06,11000000.0
tpch_query03,vo1,tpch,8.06,7000000.0
tpch_query03,vo1,tpch,9.07,9625000.0
tpch_query03,vo1,tpch,10.08,12833333.333333334
tpch_query03,vo1,tpch,11.08,12833333.333333334
tpch_query03,vo1,tpch,12.09,8555555.555555554
tpch_query03,vo1,tpch,13.1,4812500.0
tpch_query03,vo1,tpch,14.1,11000000.0
tpch_query03,vo1,tpch,15.11,6416666.666666667
tpch_query03,vo1,tpch,16.12,11000000.0
tpch_query03,vo1,tpch,17.12,11000000.0
tpch_query03,vo1,tpch,18.13,12833333.333333334
tpch_query03,vo1,tpch,19.13,11000000.0
tpch_query03,vo1,tpch,20.14,11000000.0
tpch_query03,vo1,tpch,21.15,7000000.0
tpch_query03,vo1,tpch,22.15,11000000.0
tpch_query03,vo1,tpch,23.16,11000000.0
tpch_query03,vo1,tpch,24.17,2851851.8518518517
tpch_query03,vo1,tpch,25.17,11000000.0
tpch_query03,vo1,tpch,26.18,11000000.0
tpch_query03,vo1,tpch,27.19,11000000.0
tpch_query03,vo1,tpch,28.19,11000000.0
tpch_query03,vo1,tpch,29.2,4812500.0
tpch_query03,vo1,tpch,30.2,8555555.555555554
tpch_query03,vo1,tpch,31.21,11000000.0
tpch_query03,vo1,tpch,32.22,11000000.0
tpch_query03,vo1,tpch,33.22,11000000.0
tpch_query03,vo1,tpch,34.23,11000000.0
tpch_query03,vo1,tpch,35.24,11000000.0
tpch_query03,vo1,tpch,36.24,11000000.0
tpch_query03,vo1,tpch,37.25,11000000.0
tpch_query03,vo1,tpch,38.26,11000000.0
tpch_query03,vo1,tpch,39.26,4812500.0
tpch_query03,vo1,tpch,40.27,11000000.0
tpch_query03,vo1,tpch,41.27,11000000.0
tpch_query03,vo1,tpch,42.28,15400000.0
tpch_query03,vo1,tpch,43.29,19250000.0
tpch_query03,vo1,tpch,44.29,19250000.0
tpch_query03,vo1,tpch,45.3,12833333.333333334
tpch_query03,vo1,tpch,46.31,12833333.333333334
tpch_query03,vo1,tpch,47.31,19250000.0
tpch_query03,vo1,tpch,48.32,19250000.0
tpch_query03,vo1,tpch,49.33,19250000.0
tpch_query03,vo1,tpch,50.33,25666666.666666668
tpch_query03,vo1,tpch,51.34,19250000.0
tpch_query03,vo1,tpch,52.34,19250000.0
tpch_query03,vo1,tpch,53.35,11000000.0
tpch_query03,vo1,tpch,54.36,15400000.0
tpch_query03,vo1,tpch,55.36,19250000.0
tpch_query03,vo1,tpch,56.37,19250000.0
tpch_query03,vo1,tpch,57.38,19250000.0
tpch_query03,vo1,tpch,58.38,25666666.666666668
tpch_query03,vo1,tpch,59.39,3666666.6666666665
tpch_query03,vo1,tpch,60.4,19250000.0
tpch_query03,vo1,tpch,61.4,25666666.666666668
tpch_query03,vo1,tpch,62.41,19250000.0
tpch_query03,vo1,tpch,63.41,19250000.0
tpch_query03,vo1,tpch,64.42,19250000.0
tpch_query03,vo1,tpch,65.43,25666666.666666668
