rows,inserts,deletes,duration_ms
6929,6929,0,0.343806
1732,1732,0,0.121756
173,173,0,0.20703
1,0,1,1.00573
6929,6929,0,0.335768
1732,1732,0,0.04506
173,173,0,0.186207
1,1,0,0.732226
6929,6929,0,0.344926
1732,1732,0,0.095549
173,173,0,0.205428
1,0,1,1.51002
6929,6929,0,0.34163
1732,1732,0,0.048
173,173,0,0.194979
1,1,0,0.983765
6929,6929,0,0.358458
1732,1732,0,0.115023
173,173,0,0.203474
1,0,1,1.54473
6929,6929,0,0.341925
1732,1732,0,0.341301
173,173,0,0.204646
1,1,0,0.972809
6929,6929,0,0.3785
1732,1732,0,0.137888
173,173,0,0.21949
1,0,1,1.46719
6929,6929,0,1.52499
1732,1732,0,0.053804
173,173,0,0.198028
1,1,0,0.982146
6929,6929,0,0.797198
1732,1732,0,0.144459
173,173,0,0.237705
1,0,1,1.39879
6929,6929,0,0.336709
1732,1732,0,0.044685
173,173,0,0.204098
1,1,0,0.903884
6929,6929,0,0.338038
1732,1732,0,0.113287
173,173,0,0.214298
1,0,1,1.62936
6929,6929,0,0.349713
1732,1732,0,0.054844
173,173,0,0.206702
1,1,0,0.993368
6929,6929,0,0.344682
1732,1732,0,0.122437
173,173,0,0.217808
1,0,1,1.69275
6929,6929,0,0.336565
1732,1732,0,0.045934
173,173,0,0.201343
1,1,0,1.02784
6929,6929,0,0.341969
1732,1732,0,0.120206
173,173,0,0.216071
1,0,1,1.68093
6929,6929,0,0.352113
1732,1732,0,0.045373
173,173,0,0.205803
1,1,0,1.00951
6929,6929,0,0.352938
1732,1732,0,0.128354
173,173,0,0.210077
1,0,1,1.09144
6929,6929,0,0.340818
1732,1732,0,0.047297
173,173,0,0.195743
1,1,0,0.79067
6929,6929,0,0.342113
1732,1732,0,0.094626
173,173,0,0.216687
1,0,1,1.61081
6929,6929,0,0.340259
1732,1732,0,0.048917
173,173,0,0.203025
1,1,0,1.112
6929,6929,0,0.433471
1732,1732,0,0.137642
173,173,0,0.550442
1,0,1,1.30826
6929,6929,0,0.332934
1732,1732,0,0.048163
173,173,0,0.190183
1,1,0,0.894641
6929,6929,0,0.360114
1732,1732,0,0.110812
173,173,0,0.200793
1,0,1,1.71035
6929,6929,0,0.330914
1732,1732,0,0.047409
173,173,0,0.193489
1,1,0,1.04423
6929,6929,0,0.361157
1732,1732,0,0.13981
173,173,0,0.209047
1,0,1,1.77888
6929,6929,0,0.323397
1732,1732,0,0.050785
173,173,0,0.196653
1,1,0,1.08629
6929,6929,0,0.340505
1732,1732,0,0.151659
173,173,0,0.203813
1,0,1,1.73922
6929,6929,0,0.335951
1732,1732,0,0.05339
173,173,0,0.198549
1,1,0,1.04271
6929,6929,0,0.356946
1732,1732,0,0.143435
173,173,0,0.20567
1,0,1,1.75992
6929,6929,0,0.335053
1732,1732,0,0.053475
173,173,0,0.202313
1,1,0,1.08573
6929,6929,0,0.334891
1732,1732,0,0.143063
173,173,0,0.209355
1,0,1,1.80209
6929,6929,0,0.341217
1732,1732,0,0.055978
173,173,0,0.19648
1,1,0,1.18403
6929,6929,0,0.36655
1732,1732,0,0.15007
173,173,0,0.224313
1,0,1,1.75705
6929,6929,0,0.332043
1732,1732,0,0.05341
173,173,0,0.193827
1,1,0,1.08347
6929,6929,0,0.354174
1732,1732,0,0.144408
173,173,0,0.214432
1,0,1,1.57297
6929,6929,0,0.342692
1732,1732,0,0.072864
173,173,0,0.206488
1,1,0,1.07691
6929,6929,0,0.357138
1732,1732,0,0.125433
173,173,0,0.22575
1,0,1,1.18728
6929,6929,0,0.806174
1732,1732,0,0.056008
173,173,0,0.19194
1,1,0,0.87988
6929,6929,0,0.348687
1732,1732,0,0.103713
173,173,0,0.209387
1,0,1,2.1578
6929,6929,0,0.33041
1732,1732,0,0.057144
173,173,0,0.229203
1,1,0,1.26907
6929,6929,0,0.336493
1732,1732,0,0.152649
173,173,0,0.223161
1,0,1,1.91988
6929,6929,0,0.349736
1732,1732,0,0.055939
173,173,0,0.207778
1,1,0,1.1328
6929,6929,0,0.342635
1732,1732,0,0.136094
173,173,0,0.223184
1,0,1,1.89646
6929,6929,0,0.334303
1732,1732,0,0.056162
173,173,0,0.208631
1,1,0,1.15593
6929,6929,0,0.342696
1732,1732,0,0.140321
173,173,0,0.224768
1,0,1,1.90854
6929,6929,0,0.351584
1732,1732,0,0.048973
173,173,0,0.203136
1,1,0,1.57716
6929,6929,0,0.349665
1732,1732,0,0.15455
173,173,0,0.201635
1,0,1,2.08546
6929,6929,0,0.340339
1732,1732,0,0.076048
173,173,0,0.217345
1,1,0,1.27693
6929,6929,0,0.36489
1732,1732,0,0.159275
173,173,0,0.206696
1,0,1,1.4736
6929,6929,0,0.334205
1732,1732,0,0.050066
173,173,0,0.200537
1,1,0,0.982736
6929,6929,0,0.351168
1732,1732,0,0.117589
173,173,0,0.215579
1,0,1,1.44538
6929,6929,0,0.357171
1732,1732,0,0.047473
173,173,0,0.206198
1,1,0,1.00239
6929,6929,0,0.35026
1732,1732,0,0.117714
173,173,0,0.206724
1,0,1,2.09382
6929,6929,0,0.341057
1732,1732,0,0.05077
173,173,0,0.204279
1,1,0,1.25105
6929,6929,0,0.379332
1732,1732,0,0.145188
173,173,0,0.2096
1,0,1,1.86852
6929,6929,0,0.351313
1732,1732,0,0.061167
173,173,0,0.199117
1,1,0,1.15445
6929,6929,0,0.349732
1732,1732,0,0.134652
173,173,0,0.207448
1,0,1,2.18589
6929,6929,0,0.355538
1732,1732,0,0.062504
173,173,0,0.214749
1,1,0,1.29475
6929,6929,0,0.352327
1732,1732,0,0.154745
173,173,0,0.208302
1,0,1,2.02601
6929,6929,0,0.347723
1732,1732,0,0.050434
173,173,0,0.197266
1,1,0,1.20249
6929,6929,0,0.351193
1732,1732,0,0.149626
173,173,0,0.210571
1,0,1,2.14778
6929,6929,0,0.349208
1732,1732,0,0.062723
173,173,0,0.202391
1,1,0,1.27385
6929,6929,0,0.345459
1732,1732,0,0.146284
173,173,0,0.213435
1,0,1,2.31249
6929,6929,0,0.380253
1732,1732,0,0.055284
173,173,0,0.208219
1,1,0,1.29427
6929,6929,0,0.364268
1732,1732,0,0.15736
173,173,0,0.217562
1,0,1,1.5915
6929,6929,0,0.361617
1732,1732,0,0.053047
173,173,0,0.20722
1,1,0,1.09025
6929,6929,0,0.350623
1732,1732,0,0.121648
173,173,0,0.217931
1,0,1,2.3335
6929,6929,0,0.355499
1732,1732,0,0.056814
173,173,0,0.21028
1,1,0,1.40305
6929,6929,0,0.37381
1732,1732,0,0.156239
173,173,0,0.218371
1,0,1,2.22398
6929,6929,0,0.353649
1732,1732,0,0.061823
173,173,0,0.216153
1,1,0,1.29808
6929,6929,0,0.376748
1732,1732,0,0.146664
173,173,0,0.205773
1,0,1,2.31239
6929,6929,0,0.820393
1732,1732,0,0.062078
173,173,0,0.20166
1,1,0,1.41754
6929,6929,0,0.362706
1732,1732,0,0.165958
173,173,0,0.215499
1,0,1,2.37978
6929,6929,0,0.381249
1732,1732,0,0.056924
173,173,0,0.211243
1,1,0,1.35382
6929,6929,0,0.374437
1732,1732,0,0.15944
173,173,0,0.211789
1,0,1,2.38511
6929,6929,0,0.360888
1732,1732,0,0.061582
173,173,0,0.204538
1,1,0,1.37825
6929,6929,0,0.3661
1732,1732,0,0.163638
173,173,0,0.212699
1,0,1,2.44805
6929,6929,0,0.370639
1732,1732,0,0.056586
173,173,0,0.206488
1,1,0,1.36293
6929,6929,0,0.371951
1732,1732,0,0.132797
173,173,0,0.215736
1,0,1,1.57441
6929,6929,0,0.346835
1732,1732,0,0.058436
173,173,0,0.201911
1,1,0,1.07825
6929,6929,0,0.371491
1732,1732,0,0.110174
173,173,0,0.216418
1,0,1,2.45926
6929,6929,0,0.37595
1732,1732,0,0.053237
173,173,0,0.216188
1,1,0,1.35625
6929,6929,0,0.362973
1732,1732,0,0.17395
173,173,0,0.222962
1,0,1,2.48698
6929,6929,0,0.350954
1732,1732,0,0.060081
173,173,0,0.213534
1,1,0,1.42591
6929,6929,0,0.379691
1732,1732,0,0.162456
173,173,0,0.216537
1,0,1,2.25288
6929,6929,0,0.383334
1732,1732,0,0.061493
173,173,0,0.211866
1,1,0,1.35866
6929,6929,0,0.383484
1732,1732,0,0.143127
173,173,0,0.211817
1,0,1,2.47902
6929,6929,0,0.368887
1732,1732,0,0.060807
173,173,0,0.21045
1,1,0,1.41766
6929,6929,0,0.378284
1732,1732,0,0.149192
173,173,0,0.213965
1,0,1,2.56232
6929,6929,0,0.363109
1732,1732,0,0.058965
173,173,0,0.206754
1,1,0,1.53387
6929,6929,0,0.408454
1732,1732,0,0.176416
173,173,0,0.227022
1,0,1,2.16719
6929,6929,0,0.370571
1732,1732,0,0.057063
173,173,0,0.657111
1,1,0,1.35355
6929,6929,0,0.375928
1732,1732,0,0.150017
173,173,0,0.203126
1,0,1,2.6048
6929,6929,0,0.381022
1732,1732,0,0.056136
173,173,0,0.196434
1,1,0,1.45784
6929,6929,0,0.374027
1732,1732,0,0.161986
173,173,0,0.19948
1,0,1,2.22608
6929,6929,0,0.380986
1732,1732,0,0.054536
173,173,0,0.200889
1,1,0,1.38728
6929,6929,0,0.388631
1732,1732,0,0.144227
173,173,0,0.197622
1,0,1,2.6061
6929,6929,0,0.377306
1732,1732,0,0.062094
173,173,0,0.196685
1,1,0,1.463
6929,6929,0,0.380612
1732,1732,0,0.157054
173,173,0,0.200424
1,0,1,2.66878
6929,6929,0,0.382369
1732,1732,0,0.057232
173,173,0,0.197853
1,1,0,1.51884
6929,6929,0,0.388586
1732,1732,0,0.477058
173,173,0,0.200934
1,0,1,2.74671
6929,6929,0,0.372061
1732,1732,0,0.057463
173,173,0,0.202357
1,1,0,1.64451
6929,6929,0,0.728963
1732,1732,0,0.18409
173,173,0,0.206466
1,0,1,2.62394
6929,6929,0,0.3684
1732,1732,0,0.052313
173,173,0,2.11717
1,1,0,3.99631
6929,6929,0,0.435728
1732,1732,0,2.46705
173,173,0,0.204865
1,0,1,2.83411
6929,6929,0,0.395783
1732,1732,0,0.06499
173,173,0,0.190599
1,1,0,1.50378
6929,6929,0,0.401449
1732,1732,0,0.115543
173,173,0,0.196817
1,0,1,2.9341
6929,6929,0,0.387421
1732,1732,0,0.061845
173,173,0,0.198981
1,1,0,1.6154
6929,6929,0,0.401556
1732,1732,0,0.137765
173,173,0,0.201484
