rows,inserts,deletes,duration_ms
1732,1732,0,0.067972
173,173,0,0.183472
6929,6929,0,0.297857
1732,1732,0,0.068547
173,173,0,0.180619
6929,6929,0,0.289013
1732,1732,0,0.066905
173,173,0,0.178932
6929,6929,0,0.293229
1732,1732,0,0.056832
173,173,0,0.176052
6929,6929,0,0.285605
1732,1732,0,0.062089
173,173,0,0.176717
6929,6929,0,0.28697
1732,1732,0,0.059335
173,173,0,0.183335
6929,6929,0,0.293081
1732,1732,0,0.058418
173,173,0,0.180832
6929,6929,0,0.296493
1732,1732,0,0.058047
173,173,0,0.18204
6929,6929,0,0.283364
1732,1732,0,0.063579
173,173,0,0.173735
6929,6929,0,0.325483
1732,1732,0,0.066911
173,173,0,0.186418
6929,6929,0,0.319703
1732,1732,0,0.051774
173,173,0,0.174457
6929,6929,0,0.313137
1732,1732,0,0.065762
173,173,0,0.166157
6929,6929,0,0.32279
1732,1732,0,0.060482
173,173,0,0.178961
6929,6929,0,0.294053
1732,1732,0,0.063111
173,173,0,0.17857
6929,6929,0,0.302757
1732,1732,0,0.06146
173,173,0,0.1756
6929,6929,0,0.301509
1732,1732,0,0.069722
173,173,0,0.168757
6929,6929,0,0.292632
1732,1732,0,0.06946
173,173,0,0.172702
6929,6929,0,0.285198
1732,1732,0,0.066411
173,173,0,0.178634
6929,6929,0,0.305262
1732,1732,0,0.070141
173,173,0,0.171377
6929,6929,0,0.293125
1732,1732,0,0.061469
173,173,0,0.175268
6929,6929,0,0.291599
1732,1732,0,0.055635
173,173,0,0.166285
6929,6929,0,0.298898
1732,1732,0,0.07021
173,173,0,0.183962
6929,6929,0,0.29271
1732,1732,0,0.070291
173,173,0,0.176053
6929,6929,0,0.306974
1732,1732,0,0.056233
173,173,0,0.171363
6929,6929,0,0.302726
1732,1732,0,0.078968
173,173,0,0.187752
6929,6929,0,0.304871
1732,1732,0,0.06245
173,173,0,0.170134
6929,6929,0,0.308625
1732,1732,0,0.082193
173,173,0,0.18248
6929,6929,0,0.322522
1732,1732,0,0.07254
173,173,0,0.182469
6929,6929,0,0.312246
1732,1732,0,0.08928
173,173,0,0.1896
6929,6929,0,0.307526
1732,1732,0,0.062311
173,173,0,0.18091
6929,6929,0,0.301889
1732,1732,0,0.062556
173,173,0,0.186861
6929,6929,0,0.310563
1732,1732,0,0.063343
173,173,0,0.181338
6929,6929,0,0.308174
1732,1732,0,0.062482
173,173,0,0.171299
6929,6929,0,0.305531
1732,1732,0,0.069197
173,173,0,0.176407
6929,6929,0,0.308553
1732,1732,0,0.068091
173,173,0,0.177624
6929,6929,0,0.303462
